,Gene,HotSpotNearestGene
1,AT1G01540,Bcin01g01610
2,AT1G01970,Bcin01g01610
3,AT1G03160,Bcin01g01610
4,AT1G03310,Bcin01g01610
5,AT1G03830,Bcin01g01610
6,AT1G04420,Bcin01g01610
7,AT1G06680,Bcin01g01610
8,AT1G08610,Bcin01g01610
9,AT1G11860,Bcin01g01610
10,AT1G12800,Bcin01g01610
11,AT1G13170,Bcin01g01610
12,AT1G13980,Bcin01g01610
13,AT1G14030,Bcin01g01610
14,AT1G15215,Bcin01g01610
15,AT1G15290,Bcin01g01610
16,AT1G15820,Bcin01g01610
17,AT1G16780,Bcin01g01610
18,AT1G17220,Bcin01g01610
19,AT1G19000,Bcin01g01610
20,AT1G22700,Bcin01g01610
21,AT1G23740,Bcin01g01610
22,AT1G24040,Bcin01g01610
23,AT1G24450,Bcin01g01610
24,AT1G26230,Bcin01g01610
25,AT1G26650,Bcin01g01610
26,AT1G28440,Bcin01g01610
27,AT1G29700,Bcin01g01610
28,AT1G30380,Bcin01g01610
29,AT1G42970,Bcin01g01610
30,AT1G48350,Bcin01g01610
31,AT1G50910,Bcin01g01610
32,AT1G54200,Bcin01g01610
33,AT1G54350,Bcin01g01610
34,AT1G54500,Bcin01g01610
35,AT1G54780,Bcin01g01610
36,AT1G55360,Bcin01g01610
37,AT1G55490,Bcin01g01610
38,AT1G56090,Bcin01g01610
39,AT1G56230,Bcin01g01610
40,AT1G56500,Bcin01g01610
41,AT1G58290,Bcin01g01610
42,AT1G60000,Bcin01g01610
43,AT1G60800,Bcin01g01610
44,AT1G64400,Bcin01g01610
45,AT1G66430,Bcin01g01610
46,AT1G68890,Bcin01g01610
47,AT1G70280,Bcin01g01610
48,AT1G70940,Bcin01g01610
49,AT1G72030,Bcin01g01610
50,AT1G72090,Bcin01g01610
51,AT1G73885,Bcin01g01610
52,AT1G75130,Bcin01g01610
53,AT1G77131,Bcin01g01610
54,AT1G78060,Bcin01g01610
55,AT1G79500,Bcin01g01610
56,AT1G79560,Bcin01g01610
57,AT2G01080,Bcin01g01610
58,AT2G03890,Bcin01g01610
59,AT2G05920,Bcin01g01610
60,AT2G13440,Bcin01g01610
61,AT2G17150,Bcin01g01610
62,AT2G21340,Bcin01g01610
63,AT2G24270,Bcin01g01610
64,AT2G24290,Bcin01g01610
65,AT2G25480,Bcin01g01610
66,AT2G26730,Bcin01g01610
67,AT2G27040,Bcin01g01610
68,AT2G27060,Bcin01g01610
69,AT2G28000,Bcin01g01610
70,AT2G28070,Bcin01g01610
71,AT2G28150,Bcin01g01610
72,AT2G28550,Bcin01g01610
73,AT2G29630,Bcin01g01610
74,AT2G33500,Bcin01g01610
75,AT2G33800,Bcin01g01610
76,AT2G35470,Bcin01g01610
77,AT2G35500,Bcin01g01610
78,AT2G35780,Bcin01g01610
79,AT2G35950,Bcin01g01610
80,AT2G36000,Bcin01g01610
81,AT2G36145,Bcin01g01610
82,AT2G36350,Bcin01g01610
83,AT2G36390,Bcin01g01610
84,AT2G36990,Bcin01g01610
85,AT2G37050,Bcin01g01610
86,AT2G37330,Bcin01g01610
87,AT2G37790,Bcin01g01610
88,AT2G37860,Bcin01g01610
89,AT2G38630,Bcin01g01610
90,AT2G39670,Bcin01g01610
91,AT2G39930,Bcin01g01610
92,AT2G40640,Bcin01g01610
93,AT2G42600,Bcin01g01610
94,AT2G43800,Bcin01g01610
95,AT2G44640,Bcin01g01610
96,AT2G45340,Bcin01g01610
97,AT2G47450,Bcin01g01610
98,AT2G47590,Bcin01g01610
99,AT3G01480,Bcin01g01610
100,AT3G02060,Bcin01g01610
101,AT3G02250,Bcin01g01610
102,AT3G02690,Bcin01g01610
103,AT3G04340,Bcin01g01610
104,AT3G05910,Bcin01g01610
105,AT3G06430,Bcin01g01610
106,AT3G06440,Bcin01g01610
107,AT3G06570,Bcin01g01610
108,AT3G07410,Bcin01g01610
109,AT3G07670,Bcin01g01610
110,AT3G07990,Bcin01g01610
111,AT3G08680,Bcin01g01610
112,AT3G10160,Bcin01g01610
113,AT3G12690,Bcin01g01610
114,AT3G12780,Bcin01g01610
115,AT3G13510,Bcin01g01610
116,AT3G14120,Bcin01g01610
117,AT3G14240,Bcin01g01610
118,AT3G14650,Bcin01g01610
119,AT3G15480,Bcin01g01610
120,AT3G16290,Bcin01g01610
121,AT3G17330,Bcin01g01610
122,AT3G18050,Bcin01g01610
123,AT3G18110,Bcin01g01610
124,AT3G18160,Bcin01g01610
125,AT3G18490,Bcin01g01610
126,AT3G18680,Bcin01g01610
127,AT3G18890,Bcin01g01610
128,AT3G19120,Bcin01g01610
129,AT3G19720,Bcin01g01610
130,AT3G19820,Bcin01g01610
131,AT3G20100,Bcin01g01610
132,AT3G22780,Bcin01g01610
133,AT3G24660,Bcin01g01610
134,AT3G26300,Bcin01g01610
135,AT3G29320,Bcin01g01610
136,AT3G46550,Bcin01g01610
137,AT3G46780,Bcin01g01610
138,AT3G46970,Bcin01g01610
139,AT3G47650,Bcin01g01610
140,AT3G49290,Bcin01g01610
141,AT3G49500,Bcin01g01610
142,AT3G52750,Bcin01g01610
143,AT3G52940,Bcin01g01610
144,AT3G55800,Bcin01g01610
145,AT3G56130,Bcin01g01610
146,AT3G56370,Bcin01g01610
147,AT3G56940,Bcin01g01610
148,AT3G56960,Bcin01g01610
149,AT3G58690,Bcin01g01610
150,AT3G59400,Bcin01g01610
151,AT3G59780,Bcin01g01610
152,AT3G62110,Bcin01g01610
153,AT3G63140,Bcin01g01610
154,AT4G00150,Bcin01g01610
155,AT4G00520,Bcin01g01610
156,AT4G01030,Bcin01g01610
157,AT4G01050,Bcin01g01610
158,AT4G03150,Bcin01g01610
159,AT4G04340,Bcin01g01610
160,AT4G04640,Bcin01g01610
161,AT4G04850,Bcin01g01610
162,AT4G04890,Bcin01g01610
163,AT4G05180,Bcin01g01610
164,AT4G13990,Bcin01g01610
165,AT4G14605,Bcin01g01610
166,AT4G16400,Bcin01g01610
167,AT4G18060,Bcin01g01610
168,AT4G18370,Bcin01g01610
169,AT4G18480,Bcin01g01610
170,AT4G20130,Bcin01g01610
171,AT4G20310,Bcin01g01610
172,AT4G22130,Bcin01g01610
173,AT4G23790,Bcin01g01610
174,AT4G26620,Bcin01g01610
175,AT4G26760,Bcin01g01610
176,AT4G27440,Bcin01g01610
177,AT4G30020,Bcin01g01610
178,AT4G32410,Bcin01g01610
179,AT4G37480,Bcin01g01610
180,AT4G39040,Bcin01g01610
181,AT4G39400,Bcin01g01610
182,AT5G01590,Bcin01g01610
183,AT5G04110,Bcin01g01610
184,AT5G06510,Bcin01g01610
185,AT5G08400,Bcin01g01610
186,AT5G10690,Bcin01g01610
187,AT5G11450,Bcin01g01610
188,AT5G11580,Bcin01g01610
189,AT5G12150,Bcin01g01610
190,AT5G13630,Bcin01g01610
191,AT5G16715,Bcin01g01610
192,AT5G16810,Bcin01g01610
193,AT5G17600,Bcin01g01610
194,AT5G19670,Bcin01g01610
195,AT5G23060,Bcin01g01610
196,AT5G23310,Bcin01g01610
197,AT5G24300,Bcin01g01610
198,AT5G24310,Bcin01g01610
199,AT5G26570,Bcin01g01610
200,AT5G33280,Bcin01g01610
201,AT5G36170,Bcin01g01610
202,AT5G39410,Bcin01g01610
203,AT5G39830,Bcin01g01610
204,AT5G42480,Bcin01g01610
205,AT5G43600,Bcin01g01610
206,AT5G44530,Bcin01g01610
207,AT5G44650,Bcin01g01610
208,AT5G46390,Bcin01g01610
209,AT5G47630,Bcin01g01610
210,AT5G47800,Bcin01g01610
211,AT5G50375,Bcin01g01610
212,AT5G51820,Bcin01g01610
213,AT5G54770,Bcin01g01610
214,AT5G57030,Bcin01g01610
215,AT5G58250,Bcin01g01610
216,AT5G59010,Bcin01g01610
217,AT5G66190,Bcin01g01610
218,AT5G66420,Bcin01g01610
219,AT5G66470,Bcin01g01610
220,AT1G01050,Bcin10g05900
221,AT1G07720,Bcin10g05900
222,AT1G08180,Bcin10g05900
223,AT1G10380,Bcin10g05900
224,AT1G11150,Bcin10g05900
225,AT1G17370,Bcin10g05900
226,AT1G17940,Bcin10g05900
227,AT1G18610,Bcin10g05900
228,AT1G20560,Bcin10g05900
229,AT1G21780,Bcin10g05900
230,AT1G22750,Bcin10g05900
231,AT1G25145,Bcin10g05900
232,AT1G27950,Bcin10g05900
233,AT1G36070,Bcin10g05900
234,AT1G36160,Bcin10g05900
235,AT1G42960,Bcin10g05900
236,AT1G45249,Bcin10g05900
237,AT1G53280,Bcin10g05900
238,AT1G56580,Bcin10g05900
239,AT1G62050,Bcin10g05900
240,AT1G62250,Bcin10g05900
241,AT1G67300,Bcin10g05900
242,AT1G67660,Bcin10g05900
243,AT1G68080,Bcin10g05900
244,AT1G68530,Bcin10g05900
245,AT1G69295,Bcin10g05900
246,AT1G74410,Bcin10g05900
247,AT1G76860,Bcin10g05900
248,AT1G78882,Bcin10g05900
249,AT1G79630,Bcin10g05900
250,AT1G80030,Bcin10g05900
251,AT2G01110,Bcin10g05900
252,AT2G20100,Bcin10g05900
253,AT2G20724,Bcin10g05900
254,AT2G21170,Bcin10g05900
255,AT2G22080,Bcin10g05900
256,AT2G23980,Bcin10g05900
257,AT2G30700,Bcin10g05900
258,AT2G32810,Bcin10g05900
259,AT2G36910,Bcin10g05900
260,AT2G39940,Bcin10g05900
261,AT2G40920,Bcin10g05900
262,AT2G43710,Bcin10g05900
263,AT2G44940,Bcin10g05900
264,AT2G45960,Bcin10g05900
265,AT2G45990,Bcin10g05900
266,AT2G46270,Bcin10g05900
267,AT2G46920,Bcin10g05900
268,AT2G47850,Bcin10g05900
269,AT3G01590,Bcin10g05900
270,AT3G02540,Bcin10g05900
271,AT3G04020,Bcin10g05900
272,AT3G05935,Bcin10g05900
273,AT3G11670,Bcin10g05900
