Gene,HotSpotNearestGene
AT1G01540,Bcin01g01610
AT1G01970,Bcin01g01610
AT1G03160,Bcin01g01610
AT1G03310,Bcin01g01610
AT1G03830,Bcin01g01610
AT1G04420,Bcin01g01610
AT1G06680,Bcin01g01610
AT1G08610,Bcin01g01610
AT1G11860,Bcin01g01610
AT1G12800,Bcin01g01610
AT1G13170,Bcin01g01610
AT1G13980,Bcin01g01610
AT1G14030,Bcin01g01610
AT1G15215,Bcin01g01610
AT1G15290,Bcin01g01610
AT1G15820,Bcin01g01610
AT1G16780,Bcin01g01610
AT1G17220,Bcin01g01610
AT1G19000,Bcin01g01610
AT1G22700,Bcin01g01610
AT1G23740,Bcin01g01610
AT1G24040,Bcin01g01610
AT1G24450,Bcin01g01610
AT1G26230,Bcin01g01610
AT1G26650,Bcin01g01610
AT1G28440,Bcin01g01610
AT1G29700,Bcin01g01610
AT1G30380,Bcin01g01610
AT1G42970,Bcin01g01610
AT1G48350,Bcin01g01610
AT1G50910,Bcin01g01610
AT1G54200,Bcin01g01610
AT1G54350,Bcin01g01610
AT1G54500,Bcin01g01610
AT1G54780,Bcin01g01610
AT1G55360,Bcin01g01610
AT1G55490,Bcin01g01610
AT1G56090,Bcin01g01610
AT1G56230,Bcin01g01610
AT1G56500,Bcin01g01610
AT1G58290,Bcin01g01610
AT1G60000,Bcin01g01610
AT1G60800,Bcin01g01610
AT1G64400,Bcin01g01610
AT1G66430,Bcin01g01610
AT1G68890,Bcin01g01610
AT1G70280,Bcin01g01610
AT1G70940,Bcin01g01610
AT1G72030,Bcin01g01610
AT1G72090,Bcin01g01610
AT1G73885,Bcin01g01610
AT1G75130,Bcin01g01610
AT1G77131,Bcin01g01610
AT1G78060,Bcin01g01610
AT1G79500,Bcin01g01610
AT1G79560,Bcin01g01610
AT2G01080,Bcin01g01610
AT2G03890,Bcin01g01610
AT2G05920,Bcin01g01610
AT2G13440,Bcin01g01610
AT2G17150,Bcin01g01610
AT2G21340,Bcin01g01610
AT2G24270,Bcin01g01610
AT2G24290,Bcin01g01610
AT2G25480,Bcin01g01610
AT2G26730,Bcin01g01610
AT2G27040,Bcin01g01610
AT2G27060,Bcin01g01610
AT2G28000,Bcin01g01610
AT2G28070,Bcin01g01610
AT2G28150,Bcin01g01610
AT2G28550,Bcin01g01610
AT2G29630,Bcin01g01610
AT2G33500,Bcin01g01610
AT2G33800,Bcin01g01610
AT2G35470,Bcin01g01610
AT2G35500,Bcin01g01610
AT2G35780,Bcin01g01610
AT2G35950,Bcin01g01610
AT2G36000,Bcin01g01610
AT2G36145,Bcin01g01610
AT2G36350,Bcin01g01610
AT2G36390,Bcin01g01610
AT2G36990,Bcin01g01610
AT2G37050,Bcin01g01610
AT2G37330,Bcin01g01610
AT2G37790,Bcin01g01610
AT2G37860,Bcin01g01610
AT2G38630,Bcin01g01610
AT2G39670,Bcin01g01610
AT2G39930,Bcin01g01610
AT2G40640,Bcin01g01610
AT2G42600,Bcin01g01610
AT2G43800,Bcin01g01610
AT2G44640,Bcin01g01610
AT2G45340,Bcin01g01610
AT2G47450,Bcin01g01610
AT2G47590,Bcin01g01610
AT3G01480,Bcin01g01610
AT3G02060,Bcin01g01610
AT3G02250,Bcin01g01610
AT3G02690,Bcin01g01610
AT3G04340,Bcin01g01610
AT3G05910,Bcin01g01610
AT3G06430,Bcin01g01610
AT3G06440,Bcin01g01610
AT3G06570,Bcin01g01610
AT3G07410,Bcin01g01610
AT3G07670,Bcin01g01610
AT3G07990,Bcin01g01610
AT3G08680,Bcin01g01610
AT3G10160,Bcin01g01610
AT3G12690,Bcin01g01610
AT3G12780,Bcin01g01610
AT3G13510,Bcin01g01610
AT3G14120,Bcin01g01610
AT3G14240,Bcin01g01610
AT3G14650,Bcin01g01610
AT3G15480,Bcin01g01610
AT3G16290,Bcin01g01610
AT3G17330,Bcin01g01610
AT3G18050,Bcin01g01610
AT3G18110,Bcin01g01610
AT3G18160,Bcin01g01610
AT3G18490,Bcin01g01610
AT3G18680,Bcin01g01610
AT3G18890,Bcin01g01610
AT3G19120,Bcin01g01610
AT3G19720,Bcin01g01610
AT3G19820,Bcin01g01610
AT3G20100,Bcin01g01610
AT3G22780,Bcin01g01610
AT3G24660,Bcin01g01610
AT3G26300,Bcin01g01610
AT3G29320,Bcin01g01610
AT3G46550,Bcin01g01610
AT3G46780,Bcin01g01610
AT3G46970,Bcin01g01610
AT3G47650,Bcin01g01610
AT3G49290,Bcin01g01610
AT3G49500,Bcin01g01610
AT3G52750,Bcin01g01610
AT3G52940,Bcin01g01610
AT3G55800,Bcin01g01610
AT3G56130,Bcin01g01610
AT3G56370,Bcin01g01610
AT3G56940,Bcin01g01610
AT3G56960,Bcin01g01610
AT3G58690,Bcin01g01610
AT3G59400,Bcin01g01610
AT3G59780,Bcin01g01610
AT3G62110,Bcin01g01610
AT3G63140,Bcin01g01610
AT4G00150,Bcin01g01610
AT4G00520,Bcin01g01610
AT4G01030,Bcin01g01610
AT4G01050,Bcin01g01610
AT4G03150,Bcin01g01610
AT4G04340,Bcin01g01610
AT4G04640,Bcin01g01610
AT4G04850,Bcin01g01610
AT4G04890,Bcin01g01610
AT4G05180,Bcin01g01610
AT4G13990,Bcin01g01610
AT4G14605,Bcin01g01610
AT4G16400,Bcin01g01610
AT4G18060,Bcin01g01610
AT4G18370,Bcin01g01610
AT4G18480,Bcin01g01610
AT4G20130,Bcin01g01610
AT4G20310,Bcin01g01610
AT4G22130,Bcin01g01610
AT4G23790,Bcin01g01610
AT4G26620,Bcin01g01610
AT4G26760,Bcin01g01610
AT4G27440,Bcin01g01610
AT4G30020,Bcin01g01610
AT4G32410,Bcin01g01610
AT4G37480,Bcin01g01610
AT4G39040,Bcin01g01610
AT4G39400,Bcin01g01610
AT5G01590,Bcin01g01610
AT5G04110,Bcin01g01610
AT5G06510,Bcin01g01610
AT5G08400,Bcin01g01610
AT5G10690,Bcin01g01610
AT5G11450,Bcin01g01610
AT5G11580,Bcin01g01610
AT5G12150,Bcin01g01610
AT5G13630,Bcin01g01610
AT5G16715,Bcin01g01610
AT5G16810,Bcin01g01610
AT5G17600,Bcin01g01610
AT5G19670,Bcin01g01610
AT5G23060,Bcin01g01610
AT5G23310,Bcin01g01610
AT5G24300,Bcin01g01610
AT5G24310,Bcin01g01610
AT5G26570,Bcin01g01610
AT5G33280,Bcin01g01610
AT5G36170,Bcin01g01610
AT5G39410,Bcin01g01610
AT5G39830,Bcin01g01610
AT5G42480,Bcin01g01610
AT5G43600,Bcin01g01610
AT5G44530,Bcin01g01610
AT5G44650,Bcin01g01610
AT5G46390,Bcin01g01610
AT5G47630,Bcin01g01610
AT5G47800,Bcin01g01610
AT5G50375,Bcin01g01610
AT5G51820,Bcin01g01610
AT5G54770,Bcin01g01610
AT5G57030,Bcin01g01610
AT5G58250,Bcin01g01610
AT5G59010,Bcin01g01610
AT5G66190,Bcin01g01610
AT5G66420,Bcin01g01610
AT5G66470,Bcin01g01610
AT1G01050,Bcin10g05900
AT1G07720,Bcin10g05900
AT1G08180,Bcin10g05900
AT1G10380,Bcin10g05900
AT1G11150,Bcin10g05900
AT1G17370,Bcin10g05900
AT1G17940,Bcin10g05900
AT1G18610,Bcin10g05900
AT1G20560,Bcin10g05900
AT1G21780,Bcin10g05900
AT1G22750,Bcin10g05900
AT1G25145,Bcin10g05900
AT1G27950,Bcin10g05900
AT1G36070,Bcin10g05900
AT1G36160,Bcin10g05900
AT1G42960,Bcin10g05900
AT1G45249,Bcin10g05900
AT1G53280,Bcin10g05900
AT1G56580,Bcin10g05900
AT1G62050,Bcin10g05900
AT1G62250,Bcin10g05900
AT1G67300,Bcin10g05900
AT1G67660,Bcin10g05900
AT1G68080,Bcin10g05900
AT1G68530,Bcin10g05900
AT1G69295,Bcin10g05900
AT1G74410,Bcin10g05900
AT1G76860,Bcin10g05900
AT1G78882,Bcin10g05900
AT1G79630,Bcin10g05900
AT1G80030,Bcin10g05900
AT2G01110,Bcin10g05900
AT2G20100,Bcin10g05900
AT2G20724,Bcin10g05900
AT2G21170,Bcin10g05900
AT2G22080,Bcin10g05900
AT2G23980,Bcin10g05900
AT2G30700,Bcin10g05900
AT2G32810,Bcin10g05900
AT2G36910,Bcin10g05900
AT2G39940,Bcin10g05900
AT2G40920,Bcin10g05900
AT2G43710,Bcin10g05900
AT2G44940,Bcin10g05900
AT2G45960,Bcin10g05900
AT2G45990,Bcin10g05900
AT2G46270,Bcin10g05900
AT2G46920,Bcin10g05900
AT2G47850,Bcin10g05900
AT3G01590,Bcin10g05900
AT3G02540,Bcin10g05900
AT3G04020,Bcin10g05900
AT3G05935,Bcin10g05900
AT3G11670,Bcin10g05900
AT3G13040,Bcin10g05900
AT3G15350,Bcin10g05900
AT3G15410,Bcin10g05900
AT3G15940,Bcin10g05900
AT3G16200,Bcin10g05900
AT3G19290,Bcin10g05900
AT3G20300,Bcin10g05900
AT3G23910,Bcin10g05900
AT5G20380,Bcin10g05900
AT3G28730,Bcin10g05900
AT3G44020,Bcin10g05900
AT3G51980,Bcin10g05900
AT3G53420,Bcin10g05900
AT3G54020,Bcin10g05900
AT3G54200,Bcin10g05900
AT3G55005,Bcin10g05900
AT3G55610,Bcin10g05900
AT3G58670,Bcin10g05900
AT3G61420,Bcin10g05900
AT3G61890,Bcin10g05900
AT3G62660,Bcin10g05900
AT3G62700,Bcin10g05900
AT3G62800,Bcin10g05900
AT4G00040,Bcin10g05900
AT4G12310,Bcin10g05900
AT4G12460,Bcin10g05900
AT4G15110,Bcin10g05900
AT4G16180,Bcin10g05900
AT4G16765,Bcin10g05900
AT4G23630,Bcin10g05900
AT4G25290,Bcin10g05900
AT4G30960,Bcin10g05900
AT4G31590,Bcin10g05900
AT4G33700,Bcin10g05900
AT4G34000,Bcin10g05900
AT4G36190,Bcin10g05900
AT4G37270,Bcin10g05900
AT4G38730,Bcin10g05900
AT4G39100,Bcin10g05900
AT4G39730,Bcin10g05900
AT5G03190,Bcin10g05900
AT5G06280,Bcin10g05900
AT5G08410,Bcin10g05900
AT5G12140,Bcin10g05900
AT5G16990,Bcin10g05900
AT5G17550,Bcin10g05900
AT5G19840,Bcin10g05900
AT5G20070,Bcin10g05900
AT5G65840,Bcin10g05900
AT5G23410,Bcin10g05900
AT5G37360,Bcin10g05900
AT5G41850,Bcin10g05900
AT5G42990,Bcin10g05900
AT5G43150,Bcin10g05900
AT5G47650,Bcin10g05900
AT5G47760,Bcin10g05900
