GeneGroup,pValue
GO:0042793,3.82E-02
GO:0009767,2.31E-04
GO:0015995,6.88E-03
GO:0006101,2.04E-02
GO:0006099,2.04E-02
GO:0006779,6.31E-03
GO:0006006,1.65E-02
GO:0019684,2.38E-10
GO:0072350,2.11E-02
GO:0015979,1.19E-15
GO:0042435,1.67E-02
GO:0033014,1.67E-02
GO:0015994,6.55E-03
GO:0009073,1.58E-02
GO:0006778,1.13E-02
GO:0033013,1.67E-02
GO:0006091,1.13E-17
GO:0042430,3.99E-03
GO:0019318,1.22E-02
GO:0071806,1.94E-02
GO:0009658,1.87E-09
GO:0009657,1.82E-12
GO:0065002,4.37E-02
GO:0022900,8.28E-03
GO:0046148,2.94E-02
GO:0005996,1.63E-02
GO:0042440,6.05E-03
GO:0015980,2.23E-02
GO:0008652,4.17E-04
GO:0046686,3.92E-08
GO:0051188,2.97E-05
GO:1901607,7.11E-03
GO:0010038,1.31E-06
GO:0051186,7.25E-07
GO:0009414,5.89E-04
GO:0009415,7.41E-04
GO:1901605,2.17E-02
GO:0033365,2.63E-02
GO:0016053,1.55E-05
GO:0046394,1.55E-05
GO:0044283,3.24E-07
GO:0006520,5.94E-03
GO:0009266,2.23E-06
GO:0009651,1.43E-05
GO:0010035,8.08E-10
GO:0006970,4.65E-06
GO:0017144,3.16E-04
GO:0018130,3.69E-06
GO:0006790,3.10E-02
GO:0019752,7.68E-08
GO:0009409,1.57E-02
GO:0006979,2.06E-02
GO:0019438,2.08E-06
GO:0043436,1.54E-07
GO:0006082,1.61E-07
GO:0009628,1.18E-17
GO:1901362,3.61E-06
GO:0055114,3.04E-06
GO:0009416,2.93E-04
GO:0044281,6.11E-12
GO:0009314,6.06E-04
GO:0045184,2.19E-03
GO:0044271,8.46E-08
GO:0015031,3.58E-03
GO:1901566,1.64E-08
GO:0034613,2.47E-02
GO:0070727,1.61E-02
GO:0008104,3.73E-03
GO:0042886,5.35E-03
GO:0015833,7.53E-03
GO:0051649,2.05E-02
GO:0001101,2.53E-04
GO:0033036,2.05E-03
GO:0043207,4.42E-03
GO:0051707,4.42E-03
GO:0009607,4.50E-03
GO:0051641,2.90E-02
GO:0009605,1.82E-04
GO:0071705,3.51E-02
GO:0071702,4.38E-03
GO:0042221,3.68E-10
GO:0006950,4.47E-12
GO:1901700,4.56E-04
GO:1901576,1.21E-08
GO:0044249,1.78E-07
GO:0006996,2.75E-03
GO:0016043,1.72E-06
GO:0009058,8.89E-08
GO:0050896,1.19E-20
GO:0051234,4.35E-05
GO:0071840,7.05E-07
GO:0006810,1.72E-04
GO:0051179,4.72E-05
GO:0009725,4.59E-02
GO:0010033,7.02E-03
GO:0034641,4.39E-05
GO:1901360,1.20E-03
GO:0006725,2.97E-03
GO:0046483,1.46E-02
GO:1901564,2.29E-06
GO:0044237,1.04E-12
GO:0008152,2.96E-15
GO:0009987,2.92E-19
GO:0071704,6.15E-09
GO:0006807,2.04E-05
GO:0044238,9.11E-05
GO:0008150,3.33E-06
