% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0006091,"generation of precursor metabolites and energy",1.459%,-16.9469,0.884,0.000,"generation of precursor metabolites and energy"
GO:0019752,"carboxylic acid metabolic process",4.437%,-7.1146,0.668,0.112,"generation of precursor metabolites and energy"
GO:0051186,"cofactor metabolic process",1.735%,-6.1397,0.882,0.114,"generation of precursor metabolites and energy"
GO:0044237,"cellular metabolic process",46.461%,-11.9830,0.850,0.131,"generation of precursor metabolites and energy"
GO:0006725,"cellular aromatic compound metabolic process",23.483%,-2.5272,0.831,0.229,"generation of precursor metabolites and energy"
GO:1901360,"organic cyclic compound metabolic process",23.932%,-2.9208,0.856,0.231,"generation of precursor metabolites and energy"
GO:0009058,"biosynthetic process",24.432%,-7.0511,0.874,0.233,"generation of precursor metabolites and energy"
GO:0006807,"nitrogen compound metabolic process",27.303%,-4.6904,0.872,0.246,"generation of precursor metabolites and energy"
GO:0046483,"heterocycle metabolic process",22.969%,-1.8356,0.832,0.281,"generation of precursor metabolites and energy"
GO:0046148,"pigment biosynthetic process",0.639%,-1.5317,0.810,0.338,"generation of precursor metabolites and energy"
GO:0071704,"organic substance metabolic process",49.271%,-8.2111,0.856,0.344,"generation of precursor metabolites and energy"
GO:0044238,"primary metabolic process",46.772%,-4.0405,0.857,0.346,"generation of precursor metabolites and energy"
GO:0042440,"pigment metabolic process",0.785%,-2.2182,0.817,0.347,"generation of precursor metabolites and energy"
GO:0044281,"small molecule metabolic process",7.303%,-11.2140,0.767,0.482,"generation of precursor metabolites and energy"
GO:0055114,"oxidation-reduction process",7.462%,-5.5171,0.766,0.530,"generation of precursor metabolites and energy"
GO:0005996,"monosaccharide metabolic process",0.552%,-1.7878,0.753,0.584,"generation of precursor metabolites and energy"
GO:0009073,"aromatic amino acid family biosynthetic process",0.207%,-1.8013,0.662,0.612,"generation of precursor metabolites and energy"
GO:0072350,"tricarboxylic acid metabolic process",0.259%,-1.6757,0.746,0.627,"generation of precursor metabolites and energy"
GO:0019318,"hexose metabolic process",0.328%,-1.9136,0.760,0.677,"generation of precursor metabolites and energy"
GO:0008150,"biological_process",100.000%,-5.4776,1.000,0.000,"biological_process"
GO:0008152,"metabolic process",56.090%,-14.5287,0.992,0.000,"metabolism"
GO:0009987,"cellular process",58.826%,-18.5346,0.992,0.000,"cellular process"
GO:0010035,"response to inorganic substance",3.699%,-9.0926,0.825,0.000,"response to inorganic substance"
GO:0006979,"response to oxidative stress",1.908%,-1.6861,0.858,0.275,"response to inorganic substance"
GO:0009266,"response to temperature stimulus",2.287%,-5.6517,0.825,0.282,"response to inorganic substance"
GO:0051707,"response to other organism",4.968%,-2.3546,0.844,0.317,"response to inorganic substance"
GO:0009628,"response to abiotic stimulus",7.946%,-16.9281,0.845,0.361,"response to inorganic substance"
GO:0009607,"response to biotic stimulus",5.158%,-2.3468,0.854,0.364,"response to inorganic substance"
GO:0009605,"response to external stimulus",6.366%,-3.7399,0.850,0.378,"response to inorganic substance"
GO:0006950,"response to stress",14.156%,-11.3497,0.833,0.445,"response to inorganic substance"
GO:0046686,"response to cadmium ion",1.368%,-7.4067,0.827,0.481,"response to inorganic substance"
GO:0042221,"response to chemical",12.434%,-9.4342,0.836,0.495,"response to inorganic substance"
GO:0001101,"response to acid chemical",5.011%,-3.5969,0.819,0.580,"response to inorganic substance"
GO:0009409,"response to cold",1.580%,-1.8041,0.829,0.588,"response to inorganic substance"
GO:0009651,"response to salt stress",2.270%,-4.8447,0.822,0.617,"response to inorganic substance"
GO:0006970,"response to osmotic stress",2.512%,-5.3325,0.820,0.625,"response to inorganic substance"
GO:1901700,"response to oxygen-containing compound",6.504%,-3.3410,0.813,0.638,"response to inorganic substance"
GO:0009416,"response to light stimulus",2.771%,-3.5331,0.821,0.641,"response to inorganic substance"
GO:0009314,"response to radiation",2.892%,-3.2175,0.820,0.654,"response to inorganic substance"
GO:0033036,"macromolecule localization",4.519%,-2.6882,0.830,0.000,"macromolecule localization"
GO:0015833,"peptide transport",0.177%,-2.1232,0.859,0.389,"macromolecule localization"
GO:0071705,"nitrogen compound transport",1.515%,-1.4547,0.847,0.503,"macromolecule localization"
GO:0051641,"cellular localization",3.008%,-1.5376,0.838,0.555,"macromolecule localization"
GO:0015031,"protein transport",3.116%,-2.4461,0.791,0.558,"macromolecule localization"
GO:0042886,"amide transport",0.220%,-2.2716,0.865,0.663,"macromolecule localization"
GO:0050896,"response to stimulus",25.943%,-19.9245,0.986,0.000,"response to stimulus"
GO:0051179,"localization",12.352%,-4.3261,0.984,0.000,"localization"
GO:0071840,"cellular component organization or biogenesis",14.454%,-6.1518,0.984,0.000,"cellular component organization or biogenesis"
