Sort,Gene,HotSpotNearestGene,GeneID,Identification_Col0,BetweennessCentrality_Col0,Degree_Col0,Identification_coi1,BetweennessCentrality_coi1,Degree_coi1,Identification_npr1,BetweennessCentrality_npr1,Degree_npr1,Description_npr1,GO,a.Transc
42,Bcin03g09250,Bcin02g02480,Bcin03g09250.1,Vesicle/virulence Net,0,4,NA,NA,NA,NA,NA,NA,kinase [Botrytis cinerea T4],P:phosphorylation; F:kinase activity,1
92,Bcin08g04890,Bcin02g02480,Bcin08g04890.2,Vesicle/virulence Net,0,1,NA,NA,NA,NA,NA,NA,arrestin domain-containing [Botrytis cinerea 1],no GO terms,2
93,Bcin08g04890,Bcin02g02480,Bcin08g04890.1,Vesicle/virulence Net,1.45E-05,6,NA,NA,NA,NA,NA,NA,arrestin domain-containing [Botrytis cinerea 1],no GO terms,1
101,Bcin09g03810,Bcin02g02480,Bcin09g03810.2,Vesicle/virulence Net,0,1,NA,NA,NA,NA,NA,NA,dienelactone hydrolase family,F:hydrolase activity,2
154,Bcin16g05140,Bcin02g02480,Bcin16g05140.1,Vesicle/virulence Net,0,1,NA,NA,NA,NA,NA,NA,gtpase-activating gyp7,no GO terms,1
134,Bcin15g02270,Bcin02g02480,Bcin15g02270.1,Vesicle/virulence Net,0.000106,12,Vesicle/virulence and Translate/growth Net,0.00739,8,Vesicle/virulence Net,1,2,glycogen synthase [Botrytis cinerea ],P:glycogen biosynthetic process; F:glycogen (starch) synthase activity,1
4,Bcin01g00740,Bcin02g02850,Bcin01g00740.1,Vesicle/virulence Net,0,2,NA,NA,NA,NA,NA,NA,Thioredoxin-like superfamily; hypothetical protein BC1G_14342,no GO terms,1
17,Bcin02g02320,Bcin02g02850,Bcin02g02320.1,Vesicle/virulence Net,0,2,NA,NA,NA,NA,NA,NA,oxidoreductase domain containing [Botrytis cinerea T4],F:oxidoreductase activity,1
18,Bcin02g02850,Bcin02g02850,Bcin02g02850.1,Vesicle/virulence Net,0.00017,14,NA,NA,NA,NA,NA,NA,phosphotransferase enzyme family,F:transferase activity,1
23,Bcin02g07890,Bcin02g02850,Bcin02g07890.1,Vesicle/virulence Net,1.87E-05,9,NA,NA,NA,NA,NA,NA,[Botrytis cinerea ],no GO terms,1
83,Bcin07g07000,Bcin02g02850,Bcin07g07000.1,Vesicle/virulence Net,6.18E-05,12,NA,NA,NA,NA,NA,NA,kelch domain-containing [Botrytis cinerea 1],F:protein binding,1
