Gene,Function,GOID,Cat
AT3G61220,(-)-menthol dehydrogenase activity,GO:0047504,func
AT1G30400,(+)-abscisic acid D-glucopyranosyl ester transmembrane transport,GO:1902418,proc
AT2G34660,(+)-abscisic acid D-glucopyranosyl ester transmembrane transport,GO:1902418,proc
AT1G30400,(+)-abscisic acid D-glucopyranosyl ester transmembrane transporter activity,GO:1902417,func
AT2G34660,(+)-abscisic acid D-glucopyranosyl ester transmembrane transporter activity,GO:1902417,func
AT3G61220,(+)-neomenthol dehydrogenase activity,GO:0047501,func
AT1G69295,(1->3)-beta-D-glucan binding,GO:0001872,func
AT5G61130,(1->3)-beta-D-glucan binding,GO:0001872,func
AT4G03550,(1->3)-beta-D-glucan biosynthetic process,GO:0006075,proc
AT4G33110,(S)-coclaurine-N-methyltransferase activity,GO:0030794,func
AT5G49020,[myelin basic protein]-arginine N-methyltransferase activity,GO:0016277,func
AT1G14030,[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity,GO:0030785,func
AT3G07670,[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity,GO:0030785,func
AT2G36230,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,GO:0003949,func
AT4G03550,"1,3-beta-D-glucan synthase activity",GO:0003843,func
AT2G36390,"1,4-alpha-glucan branching enzyme activity",GO:0003844,func
AT3G20440,"1,4-alpha-glucan branching enzyme activity",GO:0003844,func
AT2G36390,"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)",GO:0102752,func
AT3G20440,"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)",GO:0102752,func
AT3G10320,"1,4-beta-D-xylan synthase activity",GO:0047517,func
AT1G60600,"1,4-dihydroxy-2-naphthoate octaprenyltransferase activity",GO:0046428,func
AT3G62590,1-18:1-2-16:0-monogalactosyldiacylglycerol lipase activity,GO:0102549,func
AT2G06050,12-oxophytodienoate reductase activity,GO:0016629,func
AT3G62590,1-acyl-2-lysophosphatidylserine acylhydrolase activity,GO:0052740,func
AT4G24160,1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0003841,func
AT4G30580,1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0003841,func
AT1G75020,1-acylglycerol-3-phosphate O-acyltransferase activity,GO:0003841,func
AT1G05010,1-aminocyclopropane-1-carboxylate oxidase activity,GO:0009815,func
AT1G62380,1-aminocyclopropane-1-carboxylate oxidase activity,GO:0009815,func
AT4G15560,1-deoxy-D-xylulose 5-phosphate biosynthetic process,GO:0052865,proc
AT5G62790,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity,GO:0030604,func
AT4G15560,1-deoxy-D-xylulose-5-phosphate synthase activity,GO:0008661,func
AT2G03890,1-phosphatidylinositol 4-kinase activity,GO:0004430,func
AT2G46500,1-phosphatidylinositol 4-kinase activity,GO:0004430,func
AT1G13640,1-phosphatidylinositol 4-kinase activity,GO:0004430,func
AT3G56960,1-phosphatidylinositol-4-phosphate 5-kinase activity,GO:0016308,func
AT2G41210,1-phosphatidylinositol-4-phosphate 5-kinase activity,GO:0016308,func
AT4G34890,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT3G27380,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT2G27510,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT4G03280,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT4G29890,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT4G14890,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT1G44446,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT1G60950,"2 iron, 2 sulfur cluster binding",GO:0051537,func
AT1G09780,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity",GO:0046537,func
AT1G17170,"2,4,6-trinitrotoluene catabolic process",GO:0046256,proc
AT3G12800,"2,4-dienoyl-CoA reductase (NADPH) activity",GO:0008670,func
AT1G23740,2-alkenal reductase (NADP+) activity,GO:0035798,func
AT5G16990,2-alkenal reductase [NAD(P)] activity,GO:0032440,func
AT4G30000,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,GO:0003848,func
AT5G22620,2-carboxy-D-arabinitol-1-phosphatase activity,GO:0047538,func
AT3G06300,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT1G17020,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT2G17720,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT1G06620,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT1G04350,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT3G19000,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT4G16770,2-oxoglutarate-dependent dioxygenase activity,GO:0016706,func
AT1G68890,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity,GO:0070204,func
AT1G68890,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity",GO:0070205,func
AT3G27380,"3 iron, 4 sulfur cluster binding",GO:0051538,func
AT5G63980,"3'(2'),5'-bisphosphate nucleotidase activity",GO:0008441,func
AT5G63990,"3'(2'),5'-bisphosphate nucleotidase activity",GO:0008441,func
AT5G59750,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",GO:0008686,func
AT5G64300,"3,4-dihydroxy-2-butanone-4-phosphate synthase activity",GO:0008686,func
AT4G25120,3'-5' DNA helicase activity,GO:0043138,func
AT1G54440,3'-5' exonuclease activity,GO:0008408,func
AT2G41460,3'-5' exonuclease activity,GO:0008408,func
AT1G56310,3'-5' exonuclease activity,GO:0008408,func
AT3G03710,3'-5'-exoribonuclease activity,GO:0000175,func
AT1G54440,3'-5'-exoribonuclease activity,GO:0000175,func
AT5G02250,3'-5'-exoribonuclease activity,GO:0000175,func
AT2G47220,3'-5'-exoribonuclease activity,GO:0000175,func
AT2G43420,3-beta-hydroxy-delta5-steroid dehydrogenase activity,GO:0003854,func
AT2G24270,3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,func
AT1G44170,3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,func
AT3G24503,3-chloroallyl aldehyde dehydrogenase activity,GO:0004028,func
AT5G22300,3-cyanoalanine hydratase activity,GO:0047558,func
AT3G06350,3-dehydroquinate dehydratase activity,GO:0003855,func
AT5G66120,3-dehydroquinate synthase activity,GO:0003856,func
AT1G22410,3-deoxy-7-phosphoheptulonate synthase activity,GO:0003849,func
AT1G79500,3-deoxy-8-phosphooctulonate synthase activity,GO:0008676,func
AT1G53000,3-deoxy-manno-octulosonate cytidylyltransferase activity,GO:0008690,func
AT3G06860,3-hydroxyacyl-CoA dehydrogenase activity,GO:0003857,func
AT3G25530,3-hydroxybutyrate dehydrogenase activity,GO:0003858,func
AT3G06860,3-hydroxybutyryl-CoA epimerase activity,GO:0008692,func
AT2G46110,3-methyl-2-oxobutanoate hydroxymethyltransferase activity,GO:0003864,func
AT1G24360,3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity,GO:0004316,func
AT1G07720,3-oxo-arachidoyl-CoA synthase activity,GO:0102336,func
AT1G68530,3-oxo-arachidoyl-CoA synthase activity,GO:0102336,func
AT2G16280,3-oxo-arachidoyl-CoA synthase activity,GO:0102336,func
AT1G07720,3-oxo-cerotoyl-CoA synthase activity,GO:0102337,func
AT1G68530,3-oxo-cerotoyl-CoA synthase activity,GO:0102337,func
AT2G16280,3-oxo-cerotoyl-CoA synthase activity,GO:0102337,func
AT1G24360,3-oxo-glutaryl-[acp] methyl ester reductase activity,GO:0102131,func
AT1G07720,3-oxo-lignoceronyl-CoA synthase activity,GO:0102338,func
AT1G68530,3-oxo-lignoceronyl-CoA synthase activity,GO:0102338,func
AT2G16280,3-oxo-lignoceronyl-CoA synthase activity,GO:0102338,func
AT1G24360,3-oxo-pimeloyl-[acp] methyl ester reductase activity,GO:0102132,func
AT2G45300,3-phosphoshikimate 1-carboxyvinyltransferase activity,GO:0003866,func
AT3G16260,3'-tRNA processing endoribonuclease activity,GO:0042781,func
AT5G15170,3'-tyrosyl-DNA phosphodiesterase activity,GO:0017005,func
AT1G72090,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT2G29630,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT4G04610,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT4G15610,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT5G18400,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT3G27380,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT2G05710,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT2G31955,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT4G26970,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT5G04590,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT4G35830,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT1G17200,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT5G23440,"4 iron, 4 sulfur cluster binding",GO:0051539,func
